          // seed 111
0000 c000 lbi r0, 0 // icount 0
0002 c101 lbi r1, 1 // icount 1
0004 c2ff lbi r2, -1 // icount 2
0006 c40a lbi r4, 10 // icount 3
0008 20f4 j .rlabel_0 // icount 4
000a dc58 add r6, r4, r2 // icount 5
048e dc1d sub r7, r4, r0 // icount 583
0490 de95 sub r5, r6, r4 // icount 584
0492 deed sub r3, r6, r7 // icount 585
0494 ec80 slt r0, r4, r4 // icount 586
0496 d96f andn r3, r1, r3 // icount 587
0498 debc add r7, r6, r5 // icount 588
049a d121 sll r0, r1, r1 // icount 589
049c dee7 andn r1, r6, r7 // icount 590
049e d9fd sub r7, r1, r7 // icount 591
04a0 e224 seq r1, r2, r1 // icount 592
04a2 df15 sub r5, r7, r0 // icount 593
04a4 d6d8 rol r6, r6, r6 // icount 594
04a6 d133 srl r4, r1, r1 // icount 595
04a8 e38c seq r3, r3, r4 // icount 596
04aa efa8 slt r2, r7, r5 // icount 597
04ac eb14 slt r5, r3, r0 // icount 598
04ae d0d4 rol r5, r0, r6 // icount 599
04b0 f5bc sle r7, r5, r5 // icount 600
04b2 dfb1 sub r4, r7, r5 // icount 601
04b4 d1ec rol r3, r1, r7 // icount 602
04b6 f3a0 sle r0, r3, r5 // icount 603
04b8 dc58 add r6, r4, r2 // icount 604
04ba dddb andn r6, r5, r6 // icount 605
04bc d0c2 ror r0, r0, r6 // icount 606
04be dd3b andn r6, r5, r1 // icount 607
04c0 fff8 sco r6, r7, r7 // icount 608
04c2 ddad sub r3, r5, r5 // icount 609
04c4 e2ec seq r3, r2, r7 // icount 610
04c6 df22 xor r0, r7, r1 // icount 611
04c8 d9b8 add r6, r1, r5 // icount 612
04ca deac add r3, r6, r5 // icount 613
04cc d3d4 rol r5, r3, r6 // icount 614
04ce d014 rol r5, r0, r0 // icount 615
04d0      .rlabel_11:
04d0 7b16 bgez r3, .rlabel_12 // icount 616
04d2 e048 seq r2, r0, r2 // icount 617
04d4 f354 sle r5, r3, r2 // icount 618
04d6 fd0c sco r3, r5, r0 // icount 619
04d8 d3f6 ror r5, r3, r7 // icount 620
04da da1c add r7, r2, r0 // icount 621
04dc d171 sll r4, r1, r3 // icount 622
04de de6b andn r2, r6, r3 // icount 623
04e0 fc04 sco r1, r4, r0 // icount 624
04e2 f80c sco r3, r0, r0 // icount 625
04e4 dd4d sub r3, r5, r2 // icount 626
04e6 d663 srl r0, r6, r3 // icount 627
04e8      .rlabel_12:
04e8 6906 bnez r1, .rlabel_13 // icount 628
04ea da63 andn r0, r2, r3 // icount 629
04ec d6a5 sll r1, r6, r5 // icount 630
04ee d713 srl r4, r7, r0 // icount 631
04f0      .rlabel_13:
04f0 7b0c bgez r3, .rlabel_14 // icount 632
04f2 fc44 sco r1, r4, r2 // icount 633
04f4 de37 andn r5, r6, r1 // icount 634
04f6 e868 slt r2, r0, r3 // icount 635
04f8 fc8c sco r3, r4, r4 // icount 636
04fa da7f andn r7, r2, r3 // icount 637
04fc fef0 sco r4, r6, r7 // icount 638
04fe      .rlabel_14:
04fe 6902 bnez r1, .rlabel_15 // icount 639
0500 dba8 add r2, r3, r5 // icount 640
0502      .rlabel_15:
0502 2018 j .rlabel_16 // icount 641
0504 d75f srl r7, r7, r2 // icount 642
0506 e4ec seq r3, r4, r7 // icount 643
0508 eaf8 slt r6, r2, r7 // icount 644
050a db20 add r0, r3, r1 // icount 645
050c f1c8 sle r2, r1, r6 // icount 646
050e da84 add r1, r2, r4 // icount 647
0510 e754 seq r5, r7, r2 // icount 648
0512 da1b andn r6, r2, r0 // icount 649
0514 e5d4 seq r5, r5, r6 // icount 650
0516 da9d sub r7, r2, r4 // icount 651
0518 d8fc add r7, r0, r7 // icount 652
051a d4c6 ror r1, r4, r6 // icount 653
051c      .rlabel_16:
051c 720a bltz r2, .rlabel_17 // icount 654
051e ff28 sco r2, r7, r1 // icount 655
0520 ff7c sco r7, r7, r3 // icount 656
0522 f484 sle r1, r4, r4 // icount 657
0524 fd28 sco r2, r5, r1 // icount 658
0526 faf0 sco r4, r2, r7 // icount 659
0528      .rlabel_17:
0528 7218 bltz r2, .rlabel_18 // icount 660
052a ed24 slt r1, r5, r1 // icount 661
052c ee58 slt r6, r6, r2 // icount 662
052e d0c5 sll r1, r0, r6 // icount 663
0530 e8b4 slt r5, r0, r5 // icount 664
0532 deed sub r3, r6, r7 // icount 665
0534 e530 seq r4, r5, r1 // icount 666
0536 dbae xor r3, r3, r5 // icount 667
0538 d455 sll r5, r4, r2 // icount 668
053a e3ac seq r3, r3, r5 // icount 669
053c d75b srl r6, r7, r2 // icount 670
053e f0c4 sle r1, r0, r6 // icount 671
0540 f3b8 sle r6, r3, r5 // icount 672
0542      .rlabel_18:
0542 7210 bltz r2, .rlabel_19 // icount 673
0544 f220 sle r0, r2, r1 // icount 674
0546 dd12 xor r4, r5, r0 // icount 675
0548 ee24 slt r1, r6, r1 // icount 676
054a d819 sub r6, r0, r0 // icount 677
054c d7ec rol r3, r7, r7 // icount 678
054e dd6a xor r2, r5, r3 // icount 679
0550 d64a ror r2, r6, r2 // icount 680
0552 d18f srl r3, r1, r4 // icount 681
0554      .rlabel_19:
0554 7208 bltz r2, .rlabel_20 // icount 682
0556 d572 ror r4, r5, r3 // icount 683
0558 e2d4 seq r5, r2, r6 // icount 684
055a f9a4 sco r1, r1, r5 // icount 685
055c d070 rol r4, r0, r3 // icount 686
055e      .rlabel_20:
055e 690e bnez r1, .rlabel_21 // icount 687
0560 f834 sco r5, r0, r1 // icount 688
0562 dc54 add r5, r4, r2 // icount 689
0564 e358 seq r6, r3, r2 // icount 690
0566 d9ca xor r2, r1, r6 // icount 691
0568 fbf4 sco r5, r3, r7 // icount 692
056a dfaf andn r3, r7, r5 // icount 693
056c eeec slt r3, r6, r7 // icount 694
056e      .rlabel_21:
056e 2004 j .rlabel_22 // icount 695
0570 d364 rol r1, r3, r3 // icount 696
0572 d067 srl r1, r0, r3 // icount 697
0574      .rlabel_22:
0574 7b1e bgez r3, .rlabel_23 // icount 698
0576 d34b srl r2, r3, r2 // icount 699
0578 f0d0 sle r4, r0, r6 // icount 700
057a e5e8 seq r2, r5, r7 // icount 701
057c ddfa xor r6, r5, r7 // icount 702
057e d7c9 sll r2, r7, r6 // icount 703
0580 de5e xor r7, r6, r2 // icount 704
0582 d50c rol r3, r5, r0 // icount 705
0584 d641 sll r0, r6, r2 // icount 706
0586 dafc add r7, r2, r7 // icount 707
0588 d79a ror r6, r7, r4 // icount 708
058a d5f9 sll r6, r5, r7 // icount 709
058c d92b andn r2, r1, r1 // icount 710
058e d53d sll r7, r5, r1 // icount 711
0590 f1d0 sle r4, r1, r6 // icount 712
0592 d498 rol r6, r4, r4 // icount 713
0594      .rlabel_23:
0594 6916 bnez r1, .rlabel_24 // icount 714
0596 f60c sle r3, r6, r0 // icount 715
0598 d287 srl r1, r2, r4 // icount 716
059a db13 andn r4, r3, r0 // icount 717
059c e1e4 seq r1, r1, r7 // icount 718
059e f5c4 sle r1, r5, r6 // icount 719
05a0 d2ea ror r2, r2, r7 // icount 720
05a2 dedc add r7, r6, r6 // icount 721
05a4 d9f0 add r4, r1, r7 // icount 722
05a6 d14b srl r2, r1, r2 // icount 723
05a8 e924 slt r1, r1, r1 // icount 724
05aa d1db srl r6, r1, r6 // icount 725
05ac      .rlabel_24:
05ac 7208 bltz r2, .rlabel_25 // icount 726
05ae d832 xor r4, r0, r1 // icount 727
05b0 fd88 sco r2, r5, r4 // icount 728
05b2 e45c seq r7, r4, r2 // icount 729
05b4 d4b1 sll r4, r4, r5 // icount 730
05b6      .rlabel_25:
05b6 7208 bltz r2, .rlabel_26 // icount 731
05b8 d2c0 rol r0, r2, r6 // icount 732
05ba d1cd sll r3, r1, r6 // icount 733
05bc f158 sle r6, r1, r2 // icount 734
05be ff2c sco r3, r7, r1 // icount 735
05c0      .rlabel_26:
05c0 20e8 j .rlabel_27 // icount 736
05c2 d509 sll r2, r5, r0 // icount 737
05c4 d404 rol r1, r4, r0 // icount 738
05c6 e104 seq r1, r1, r0 // icount 739
05c8 deae xor r3, r6, r5 // icount 740
05ca df6e xor r3, r7, r3 // icount 741
05cc d7c6 ror r1, r7, r6 // icount 742
05ce f538 sle r6, r5, r1 // icount 743
05d0 df09 sub r2, r7, r0 // icount 744
05d2 d4b8 rol r6, r4, r5 // icount 745
05d4 df0d sub r3, r7, r0 // icount 746
05d6 fdc4 sco r1, r5, r6 // icount 747
05d8 e540 seq r0, r5, r2 // icount 748
05da d82b andn r2, r0, r1 // icount 749
05dc f930 sco r4, r1, r1 // icount 750
05de dc1c add r7, r4, r0 // icount 751
05e0 ef60 slt r0, r7, r3 // icount 752
05e2 dce2 xor r0, r4, r7 // icount 753
05e4 df0e xor r3, r7, r0 // icount 754
05e6 dff9 sub r6, r7, r7 // icount 755
05e8 d938 add r6, r1, r1 // icount 756
05ea d4b9 sll r6, r4, r5 // icount 757
05ec e870 slt r4, r0, r3 // icount 758
05ee e604 seq r1, r6, r0 // icount 759
05f0 d3ae ror r3, r3, r5 // icount 760
05f2 e91c slt r7, r1, r0 // icount 761
05f4 ea10 slt r4, r2, r0 // icount 762
05f6 eea4 slt r1, r6, r5 // icount 763
05f8 da98 add r6, r2, r4 // icount 764
05fa d843 andn r0, r0, r2 // icount 765
05fc f5dc sle r7, r5, r6 // icount 766
05fe e7e4 seq r1, r7, r7 // icount 767
0600 dc26 xor r1, r4, r1 // icount 768
0602 da18 add r6, r2, r0 // icount 769
0604 dafe xor r7, r2, r7 // icount 770
0606 f818 sco r6, r0, r0 // icount 771
0608 f648 sle r2, r6, r2 // icount 772
060a dbf5 sub r5, r3, r7 // icount 773
060c d277 srl r5, r2, r3 // icount 774
060e d22e ror r3, r2, r1 // icount 775
0610 ddee xor r3, r5, r7 // icount 776
0612 d92f andn r3, r1, r1 // icount 777
0614 f89c sco r7, r0, r4 // icount 778
0616 f394 sle r5, r3, r4 // icount 779
0618 e2c8 seq r2, r2, r6 // icount 780
061a d31e ror r7, r3, r0 // icount 781
061c ea28 slt r2, r2, r1 // icount 782
061e d4cd sll r3, r4, r6 // icount 783
0620 f8dc sco r7, r0, r6 // icount 784
0622 ddf3 andn r4, r5, r7 // icount 785
0624 d315 sll r5, r3, r0 // icount 786
0626 eee4 slt r1, r6, r7 // icount 787
0628 d39f srl r7, r3, r4 // icount 788
062a dad2 xor r4, r2, r6 // icount 789
062c dd55 sub r5, r5, r2 // icount 790
062e ec80 slt r0, r4, r4 // icount 791
0630 d996 xor r5, r1, r4 // icount 792
0632 db0f andn r3, r3, r0 // icount 793
0634 ee7c slt r7, r6, r3 // icount 794
0636 d5dc rol r7, r5, r6 // icount 795
0638 ddd8 add r6, r5, r6 // icount 796
063a d8e3 andn r0, r0, r7 // icount 797
063c eae4 slt r1, r2, r7 // icount 798
063e ef6c slt r3, r7, r3 // icount 799
0640 d617 srl r5, r6, r0 // icount 800
0642 ff18 sco r6, r7, r0 // icount 801
0644 d8a3 andn r0, r0, r5 // icount 802
0646 d2f3 srl r4, r2, r7 // icount 803
0648 d3ff srl r7, r3, r7 // icount 804
064a e8b0 slt r4, r0, r5 // icount 805
064c e544 seq r1, r5, r2 // icount 806
064e f7e8 sle r2, r7, r7 // icount 807
0650 d83f andn r7, r0, r1 // icount 808
0652 d886 xor r1, r0, r4 // icount 809
0654 fec4 sco r1, r6, r6 // icount 810
0656 e73c seq r7, r7, r1 // icount 811
0658 d313 srl r4, r3, r0 // icount 812
065a dee9 sub r2, r6, r7 // icount 813
065c d8ea xor r2, r0, r7 // icount 814
065e d195 sll r5, r1, r4 // icount 815
0660 d3f4 rol r5, r3, r7 // icount 816
0662 d4f5 sll r5, r4, r7 // icount 817
0664 d40c rol r3, r4, r0 // icount 818
0666 de53 andn r4, r6, r2 // icount 819
0668 da60 add r0, r2, r3 // icount 820
066a f80c sco r3, r0, r0 // icount 821
066c de4d sub r3, r6, r2 // icount 822
066e f008 sle r2, r0, r0 // icount 823
0670 d3ea ror r2, r3, r7 // icount 824
0672 d8a4 add r1, r0, r5 // icount 825
0674 dae3 andn r0, r2, r7 // icount 826
0676 dbdb andn r6, r3, r6 // icount 827
0678 d091 sll r4, r0, r4 // icount 828
067a de2e xor r3, r6, r1 // icount 829
067c fed8 sco r6, r6, r6 // icount 830
067e f44c sle r3, r4, r2 // icount 831
0680 d7d4 rol r5, r7, r6 // icount 832
0682 d191 sll r4, r1, r4 // icount 833
0684 d877 andn r5, r0, r3 // icount 834
0686 dbf2 xor r4, r3, r7 // icount 835
0688 dfb6 xor r5, r7, r5 // icount 836
068a dd99 sub r6, r5, r4 // icount 837
068c d1c1 sll r0, r1, r6 // icount 838
068e ed18 slt r6, r5, r0 // icount 839
0690 d8f9 sub r6, r0, r7 // icount 840
0692 d613 srl r4, r6, r0 // icount 841
0694 d1b3 srl r4, r1, r5 // icount 842
0696 d4cf srl r3, r4, r6 // icount 843
0698 f258 sle r6, r2, r2 // icount 844
069a df1f andn r7, r7, r0 // icount 845
069c d34d sll r3, r3, r2 // icount 846
069e d721 sll r0, r7, r1 // icount 847
06a0 d552 ror r4, r5, r2 // icount 848
06a2 dbeb andn r2, r3, r7 // icount 849
06a4 eb30 slt r4, r3, r1 // icount 850
06a6 dea0 add r0, r6, r5 // icount 851
06a8 d542 ror r0, r5, r2 // icount 852
06aa      .rlabel_27:
06aa 600e beqz r0, .rlabel_28 // icount 853
06ac f5a8 sle r2, r5, r5 // icount 854
06ae e148 seq r2, r1, r2 // icount 855
06b0 d325 sll r1, r3, r1 // icount 856
06b2 f2b0 sle r4, r2, r5 // icount 857
06b4 f298 sle r6, r2, r4 // icount 858
06b6 e834 slt r5, r0, r1 // icount 859
06b8 fd6c sco r3, r5, r3 // icount 860
06ba      .rlabel_28:
06ba 20ba j .rlabel_29 // icount 861
06bc e064 seq r1, r0, r3 // icount 862
06be d4e7 srl r1, r4, r7 // icount 863
06c0 d393 srl r4, r3, r4 // icount 864
06c2 e1fc seq r7, r1, r7 // icount 865
06c4 ebc4 slt r1, r3, r6 // icount 866
06c6 dc82 xor r0, r4, r4 // icount 867
06c8 df30 add r4, r7, r1 // icount 868
06ca e454 seq r5, r4, r2 // icount 869
06cc fa00 sco r0, r2, r0 // icount 870
06ce d1f1 sll r4, r1, r7 // icount 871
06d0 d06a ror r2, r0, r3 // icount 872
06d2 e7c8 seq r2, r7, r6 // icount 873
06d4 e528 seq r2, r5, r1 // icount 874
06d6 dd46 xor r1, r5, r2 // icount 875
06d8 d629 sll r2, r6, r1 // icount 876
06da d9e9 sub r2, r1, r7 // icount 877
06dc da64 add r1, r2, r3 // icount 878
06de d338 rol r6, r3, r1 // icount 879
06e0 d652 ror r4, r6, r2 // icount 880
06e2 d83c add r7, r0, r1 // icount 881
06e4 f2fc sle r7, r2, r7 // icount 882
06e6 fc54 sco r5, r4, r2 // icount 883
06e8 eda8 slt r2, r5, r5 // icount 884
06ea d200 rol r0, r2, r0 // icount 885
06ec df04 add r1, r7, r0 // icount 886
06ee d51f srl r7, r5, r0 // icount 887
06f0 de20 add r0, r6, r1 // icount 888
06f2 d3ea ror r2, r3, r7 // icount 889
06f4 d439 sll r6, r4, r1 // icount 890
06f6 d71b srl r6, r7, r0 // icount 891
06f8 d416 ror r5, r4, r0 // icount 892
06fa db2e xor r3, r3, r1 // icount 893
06fc df2f andn r3, r7, r1 // icount 894
06fe fdb4 sco r5, r5, r5 // icount 895
0700 d4c7 srl r1, r4, r6 // icount 896
0702 dcb4 add r5, r4, r5 // icount 897
0704 d688 rol r2, r6, r4 // icount 898
0706 db37 andn r5, r3, r1 // icount 899
0708 d59d sll r7, r5, r4 // icount 900
070a d095 sll r5, r0, r4 // icount 901
070c dc8e xor r3, r4, r4 // icount 902
070e dae8 add r2, r2, r7 // icount 903
0710 d6bf srl r7, r6, r5 // icount 904
0712 e22c seq r3, r2, r1 // icount 905
0714 da6c add r3, r2, r3 // icount 906
0716 d79c rol r7, r7, r4 // icount 907
0718 de49 sub r2, r6, r2 // icount 908
071a f25c sle r7, r2, r2 // icount 909
071c dda4 add r1, r5, r5 // icount 910
071e eb6c slt r3, r3, r3 // icount 911
0720 e808 slt r2, r0, r0 // icount 912
0722 df79 sub r6, r7, r3 // icount 913
0724 d204 rol r1, r2, r0 // icount 914
0726 f664 sle r1, r6, r3 // icount 915
0728 d9f1 sub r4, r1, r7 // icount 916
072a d2bc rol r7, r2, r5 // icount 917
072c d935 sub r5, r1, r1 // icount 918
072e de4b andn r2, r6, r2 // icount 919
0730 d1c6 ror r1, r1, r6 // icount 920
0732 daaa xor r2, r2, r5 // icount 921
0734 d184 rol r1, r1, r4 // icount 922
0736 d928 add r2, r1, r1 // icount 923
0738 d74a ror r2, r7, r2 // icount 924
073a dc89 sub r2, r4, r4 // icount 925
073c d2d9 sll r6, r2, r6 // icount 926
073e d237 srl r5, r2, r1 // icount 927
0740 d5c3 srl r0, r5, r6 // icount 928
0742 dcba xor r6, r4, r5 // icount 929
0744 d5e1 sll r0, r5, r7 // icount 930
0746 e07c seq r7, r0, r3 // icount 931
0748 de2a xor r2, r6, r1 // icount 932
074a deb2 xor r4, r6, r5 // icount 933
074c d258 rol r6, r2, r2 // icount 934
074e ddb5 sub r5, r5, r5 // icount 935
0750 d51a ror r6, r5, r0 // icount 936
0752 d368 rol r2, r3, r3 // icount 937
0754 d029 sll r2, r0, r1 // icount 938
0756 d39e ror r7, r3, r4 // icount 939
0758 dd7e xor r7, r5, r3 // icount 940
075a e7fc seq r7, r7, r7 // icount 941
075c e650 seq r4, r6, r2 // icount 942
075e fca4 sco r1, r4, r5 // icount 943
0760 fffc sco r7, r7, r7 // icount 944
0762 ef94 slt r5, r7, r4 // icount 945
0764 d788 rol r2, r7, r4 // icount 946
0766 f388 sle r2, r3, r4 // icount 947
0768 d7ca ror r2, r7, r6 // icount 948
076a d9f0 add r4, r1, r7 // icount 949
076c d774 rol r5, r7, r3 // icount 950
076e ef1c slt r7, r7, r0 // icount 951
0770 dbd2 xor r4, r3, r6 // icount 952
0772 d263 srl r0, r2, r3 // icount 953
0774 d68e ror r3, r6, r4 // icount 954
0776      .rlabel_29:
0776 2036 j .rlabel_30 // icount 955
0778 e0d0 seq r4, r0, r6 // icount 956
077a dcff andn r7, r4, r7 // icount 957
077c f77c sle r7, r7, r3 // icount 958
077e d52c rol r3, r5, r1 // icount 959
0780 e24c seq r3, r2, r2 // icount 960
0782 ec08 slt r2, r4, r0 // icount 961
0784 d327 srl r1, r3, r1 // icount 962
0786 d483 srl r0, r4, r4 // icount 963
0788 fd04 sco r1, r5, r0 // icount 964
078a de60 add r0, r6, r3 // icount 965
078c d7b1 sll r4, r7, r5 // icount 966
078e d86d sub r3, r0, r3 // icount 967
0790 d81f andn r7, r0, r0 // icount 968
0792 dd20 add r0, r5, r1 // icount 969
0794 d9f5 sub r5, r1, r7 // icount 970
0796 da73 andn r4, r2, r3 // icount 971
0798 ef18 slt r6, r7, r0 // icount 972
079a fa08 sco r2, r2, r0 // icount 973
079c fdc4 sco r1, r5, r6 // icount 974
079e ffa4 sco r1, r7, r5 // icount 975
07a0 de70 add r4, r6, r3 // icount 976
07a2 f868 sco r2, r0, r3 // icount 977
07a4 ff2c sco r3, r7, r1 // icount 978
07a6 fffc sco r7, r7, r7 // icount 979
07a8 da97 andn r5, r2, r4 // icount 980
07aa ea70 slt r4, r2, r3 // icount 981
07ac fb6c sco r3, r3, r3 // icount 982
07ae      .rlabel_30:
07ae 7218 bltz r2, .rlabel_31 // icount 983
07b0 d2b7 srl r5, r2, r5 // icount 984
07b2 db2a xor r2, r3, r1 // icount 985
07b4 d854 add r5, r0, r2 // icount 986
07b6 dba1 sub r0, r3, r5 // icount 987
07b8 e684 seq r1, r6, r4 // icount 988
07ba de45 sub r1, r6, r2 // icount 989
07bc fdd8 sco r6, r5, r6 // icount 990
07be deb7 andn r5, r6, r5 // icount 991
07c0 d937 andn r5, r1, r1 // icount 992
07c2 de0e xor r3, r6, r0 // icount 993
07c4 d2f9 sll r6, r2, r7 // icount 994
07c6 d4eb srl r2, r4, r7 // icount 995
07c8      .rlabel_31:
07c8 2022 j .rlabel_32 // icount 996
07ca e6c0 seq r0, r6, r6 // icount 997
07cc dd0c add r3, r5, r0 // icount 998
07ce d6e2 ror r0, r6, r7 // icount 999
07d0 d6fd sll r7, r6, r7 // icount 1000
07d2 d094 rol r5, r0, r4 // icount 1001
07d4 d7bf srl r7, r7, r5 // icount 1002
07d6 e8a8 slt r2, r0, r5 // icount 1003
07d8 d418 rol r6, r4, r0 // icount 1004
07da dfd3 andn r4, r7, r6 // icount 1005
07dc dcd2 xor r4, r4, r6 // icount 1006
07de e3a8 seq r2, r3, r5 // icount 1007
07e0 d491 sll r4, r4, r4 // icount 1008
07e2 eb34 slt r5, r3, r1 // icount 1009
07e4 df25 sub r1, r7, r1 // icount 1010
07e6 dfba xor r6, r7, r5 // icount 1011
07e8 e918 slt r6, r1, r0 // icount 1012
07ea d11e ror r7, r1, r0 // icount 1013
07ec      .rlabel_32:
07ec 690c bnez r1, .rlabel_33 // icount 1014
07ee ddc9 sub r2, r5, r6 // icount 1015
07f0 ea64 slt r1, r2, r3 // icount 1016
07f2 ef58 slt r6, r7, r2 // icount 1017
07f4 d4e2 ror r0, r4, r7 // icount 1018
07f6 d7dc rol r7, r7, r6 // icount 1019
07f8 fb68 sco r2, r3, r3 // icount 1020
07fa      .rlabel_33:
07fa 20a2 j .rlabel_34 // icount 1021
07fc d804 add r1, r0, r0 // icount 1022
07fe e840 slt r0, r0, r2 // icount 1023
0800 d6b2 ror r4, r6, r5 // icount 1024
0802 e044 seq r1, r0, r2 // icount 1025
0804 d263 srl r0, r2, r3 // icount 1026
0806 ea30 slt r4, r2, r1 // icount 1027
0808 d05e ror r7, r0, r2 // icount 1028
080a df62 xor r0, r7, r3 // icount 1029
080c d534 rol r5, r5, r1 // icount 1030
080e f094 sle r5, r0, r4 // icount 1031
0810 dd5c add r7, r5, r2 // icount 1032
0812 f0fc sle r7, r0, r7 // icount 1033
0814 dba4 add r1, r3, r5 // icount 1034
0816 d1eb srl r2, r1, r7 // icount 1035
0818 d3eb srl r2, r3, r7 // icount 1036
081a f9f4 sco r5, r1, r7 // icount 1037
081c d6f2 ror r4, r6, r7 // icount 1038
081e edf8 slt r6, r5, r7 // icount 1039
0820 ded3 andn r4, r6, r6 // icount 1040
0822 dcec add r3, r4, r7 // icount 1041
0824 dc90 add r4, r4, r4 // icount 1042
0826 ff58 sco r6, r7, r2 // icount 1043
0828 eac4 slt r1, r2, r6 // icount 1044
082a f4c8 sle r2, r4, r6 // icount 1045
082c dffd sub r7, r7, r7 // icount 1046
082e e510 seq r4, r5, r0 // icount 1047
0830 ef90 slt r4, r7, r4 // icount 1048
0832 d3a8 rol r2, r3, r5 // icount 1049
0834 d475 sll r5, r4, r3 // icount 1050
0836 db00 add r0, r3, r0 // icount 1051
0838 f2ac sle r3, r2, r5 // icount 1052
083a dfc4 add r1, r7, r6 // icount 1053
083c d013 srl r4, r0, r0 // icount 1054
083e e068 seq r2, r0, r3 // icount 1055
0840 d9cc add r3, r1, r6 // icount 1056
0842 edc0 slt r0, r5, r6 // icount 1057
0844 eaf0 slt r4, r2, r7 // icount 1058
0846 eaf0 slt r4, r2, r7 // icount 1059
0848 dc84 add r1, r4, r4 // icount 1060
084a ebb8 slt r6, r3, r5 // icount 1061
084c deda xor r6, r6, r6 // icount 1062
084e e958 slt r6, r1, r2 // icount 1063
0850 f19c sle r7, r1, r4 // icount 1064
0852 de55 sub r5, r6, r2 // icount 1065
0854 ed80 slt r0, r5, r4 // icount 1066
0856 eddc slt r7, r5, r6 // icount 1067
0858 d6fd sll r7, r6, r7 // icount 1068
085a d97d sub r7, r1, r3 // icount 1069
085c dc44 add r1, r4, r2 // icount 1070
085e d079 sll r6, r0, r3 // icount 1071
0860 ed5c slt r7, r5, r2 // icount 1072
0862 d6e6 ror r1, r6, r7 // icount 1073
0864 da46 xor r1, r2, r2 // icount 1074
0866 d99e xor r7, r1, r4 // icount 1075
0868 ee0c slt r3, r6, r0 // icount 1076
086a db7d sub r7, r3, r3 // icount 1077
086c d643 srl r0, r6, r2 // icount 1078
086e da59 sub r6, r2, r2 // icount 1079
0870 f8c4 sco r1, r0, r6 // icount 1080
0872 d5ac rol r3, r5, r5 // icount 1081
0874 d5cb srl r2, r5, r6 // icount 1082
0876 f174 sle r5, r1, r3 // icount 1083
0878 d7ac rol r3, r7, r5 // icount 1084
087a e408 seq r2, r4, r0 // icount 1085
087c dcd2 xor r4, r4, r6 // icount 1086
087e e3a4 seq r1, r3, r5 // icount 1087
0880 de5c add r7, r6, r2 // icount 1088
0882 df65 sub r1, r7, r3 // icount 1089
0884 d82e xor r3, r0, r1 // icount 1090
0886 d31a ror r6, r3, r0 // icount 1091
0888 d9fc add r7, r1, r7 // icount 1092
088a d8a9 sub r2, r0, r5 // icount 1093
088c d0d6 ror r5, r0, r6 // icount 1094
088e de8c add r3, r6, r4 // icount 1095
0890 d1dc rol r7, r1, r6 // icount 1096
0892 ddd4 add r5, r5, r6 // icount 1097
0894 d807 andn r1, r0, r0 // icount 1098
0896 d20b srl r2, r2, r0 // icount 1099
0898 d061 sll r0, r0, r3 // icount 1100
089a d2e3 srl r0, r2, r7 // icount 1101
089c fa44 sco r1, r2, r2 // icount 1102
089e      .rlabel_34:
089e 7b0e bgez r3, .rlabel_35 // icount 1103
08a0 d01c rol r7, r0, r0 // icount 1104
08a2 d968 add r2, r1, r3 // icount 1105
08a4 d2fb srl r6, r2, r7 // icount 1106
08a6 d0fe ror r7, r0, r7 // icount 1107
08a8 d7cf srl r3, r7, r6 // icount 1108
08aa dd49 sub r2, r5, r2 // icount 1109
08ac ef70 slt r4, r7, r3 // icount 1110
08ae      .rlabel_35:
08ae 30ac jal .rlabel_36 // icount 1111
08b0 ff5c sco r7, r7, r2 // icount 1112
08b2 e47c seq r7, r4, r3 // icount 1113
08b4 db97 andn r5, r3, r4 // icount 1114
08b6 e3c8 seq r2, r3, r6 // icount 1115
08b8 ef88 slt r2, r7, r4 // icount 1116
08ba d49d sll r7, r4, r4 // icount 1117
08bc d1c1 sll r0, r1, r6 // icount 1118
08be de11 sub r4, r6, r0 // icount 1119
08c0 d977 andn r5, r1, r3 // icount 1120
08c2 d016 ror r5, r0, r0 // icount 1121
08c4 d851 sub r4, r0, r2 // icount 1122
08c6 d724 rol r1, r7, r1 // icount 1123
08c8 f7b4 sle r5, r7, r5 // icount 1124
08ca d3d9 sll r6, r3, r6 // icount 1125
08cc dac6 xor r1, r2, r6 // icount 1126
08ce ee40 slt r0, r6, r2 // icount 1127
08d0 d339 sll r6, r3, r1 // icount 1128
08d2 f5d0 sle r4, r5, r6 // icount 1129
08d4 d879 sub r6, r0, r3 // icount 1130
08d6 f57c sle r7, r5, r3 // icount 1131
08d8 daa3 andn r0, r2, r5 // icount 1132
08da de7e xor r7, r6, r3 // icount 1133
